Date,SEM_Google_Spend,SEM_Google_Clicks,SEM_Google_Impressions,Preload_IronSource_Aura_Spend,Preload_IronSource_Aura_launches,Preload_IronSource_Aura_impressions,Preload_IronSource_Aura_app_downloads,Programmatic_Bidease_Spend,Programmatic_Bidease_Clicks,Programmatic_Bidease_Impressions,Preload_Digital_Turbine_Spend,Preload_Digital_Turbine_launches,Preload_Digital_Turbine_impressions,Preload_Digital_Turbine_app_downloads,Programmatic_Tapjoy_Spend,Programmatic_Tapjoy_Clicks,Programmatic_Tapjoy_Impressions,SEM_Apple_Search_Ads_Spend,SEM_Apple_Search_Ads_Clicks,SEM_Apple_Search_Ads_Impressions,Programmatic_LiftOff_Spend,Programmatic_LiftOff_Clicks,Programmatic_LiftOff_Impressions,Programmatic_IronSource_Sonic_Spend,Programmatic_IronSource_Sonic_Clicks,Programmatic_IronSource_Sonic_Impressions,PaidSocial_Twitter_Spend,PaidSocial_Twitter_Clicks,PaidSocial_Twitter_Impressions,Programmatic_TikTok_Spend,Programmatic_TikTok_Clicks,Programmatic_TikTok_Impressions,PaidSocial_Vibe_Spend,PaidSocial_Vibe_Clicks,PaidSocial_Vibe_Impressions,Programmatic_Persona.ly_Spend,Programmatic_Persona.ly_Clicks,Programmatic_Persona.ly_Impressions,SocialEng_Facebook_Impressions,SocialEng_Facebook_Total_Engagements,SocialEng_Facebook_Estimated_Clicks,SocialEng_LinkedIn_Impressions,SocialEng_LinkedIn_Total_Engagements,SocialEng_LinkedIn_Estimated_Clicks,SocialEng_YouTube_Impressions,SocialEng_YouTube_Total_Engagements,SocialEng_YouTube_Estimated_Clicks,SocialEng_Instagram_Impressions,SocialEng_Instagram_Total_Engagements,SocialEng_Instagram_Estimated_Clicks,SocialEng_Twitter_Impressions,SocialEng_Twitter_Total_Engagements,SocialEng_Twitter_Estimated_Clicks,SocialEng_TikTok_Impressions,SocialEng_TikTok_Total_Engagements,OrganicSearch_Google_Clicks,OrganicSearch_Google_Impressions,OrganicSearch_Google_Position,Overall_Product_Visits,US Weather Impact Rating,EventsCamp/Vend_Campaign_Flag,EventsCamp/Vend_Campaign/Vendor(s),Critical_Event_Flag,Overall_Visits_Critical_Event_Flag,Installs_Critical_Event_Flag,Visits_Critical_Event_Flag,Event_Name,MobileWeb_TWC Mobile Web_Visits,Apps_TWC Universal Android 4G+_Visits,Apps_TWC Universal iOS 4G+_Visits,Web_TWC Web_Visits,Overall_Web_Visits,Twitter_TikTok_Combined_Spend,Twitter_TikTok_Combined_Clicks,Twitter_TikTok_Combined_Impressions,Influencer_Spend,Influencer_Daily_Impressions,Total_App_Installs,Usage,Preference,Seen as experts,Net Favorability,Net Trust,Realibality,Accuracy,NPS,Positive impact on community,Positive impact on well being,Brand_Spend,Brand_Impressions
01-09-2021,3804.96239,9901,188201,624.1,1327,26044,2657,83.95,1,556341,919.63,31,0,7121,0,0,0,4716.75,7349,85071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4805113,31079,20632,107826,1804,1258,0,0,0,345169,9429,0,63111321,6126,745,0,0,2113632,21178677,3.93,71661898,2,0,0,1,1,1,1,Ida,17068177,12075838,36418204,6099679,23167856,0,0,0,0,0,75741,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,0,0
02-09-2021,1956.52158,5170,111238,919.24,1286,39147,3625,69,0,559972,767.15,45,0,6984,0,0,0,3809.15,5392,67198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013773,29663,87579,88570,1525,1681,0,21,0,532110,18561,0,41235963,5438,657,0,0,1360533,13632595,3.93,48666814,1.75,0,0,0,0,0,0,0,11030589,8812651,24988751,3834823,14865412,0,0,0,0,0,60497,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,0,0
03-09-2021,1750.51233,4550,92859,914.55,1245,39039,3572,109.25,1,534029,883.69,31,0,10257,0,0,0,2163.71,3059,48559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120546,6469,12172,64859,1317,258,0,192,0,265977,9422,0,22267851,1711,468,0,0,1093015,10952054,3.93,41192945,1.5,0,0,0,0,0,0,0,8968302,7784024,21151302,3289317,12257619,0,0,0,0,0,48208,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,0,0
04-09-2021,1772.30789,4723,93066,927.03,1315,34922,3581,96.6,0,371965,954.74,24,0,7882,0,0,0,3141.65,3173,44111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239395,4812,18746,229,31,33,0,0,0,113167,1773,0,15871599,564,53,0,0,937480,9393587,3.93,41297717,1.5,0,0,0,0,0,0,0,8946373,8019276,21950027,2382041,11328414,0,0,0,0,0,48201,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,0,0
05-09-2021,1881.71183,5030,96904,676.35,1365,29773,2464,88.55,0,408641,947.99,38,0,4738,0,0,0,3846.04,4271,45800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184223,304,107,189,8,9,0,0,0,0,0,0,16173193,896,46,0,0,1060371,10624960,3.93,43292182,1.25,0,0,0,0,0,0,0,9113516,8075385,23515450,2587831,11701347,0,0,0,0,0,49522,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,0,0
06-09-2021,1575.39346,4448,84787,597.72,1218,27637,2254,194.35,1,609362,814,28,0,3978,0,0,0,3533.16,4555,49133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591541,1810,18672,7182,97,353,0,0,0,343892,9364,0,16819947,1067,148,0,0,887299,8890772,3.93,38980455,1.25,0,0,0,0,0,0,0,8347654,7423200,20670639,2538962,10886616,0,0,0,0,0,44570,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,0,0
07-09-2021,1953.27664,5203,89513,620.6,1188,26289,2349,247.25,1,531225,761.62,48,0,5194,0,0,0,3969.56,5465,59503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2843076,10243,17190,59593,3083,326,0,140,0,488712,20156,0,60658580,4606,708,0,0,1166705,11690431,3.93,46581976,1.5,1,TWCBrandAccuracy_Facebook,0,0,0,0,0,10336060,8855571,23384272,4006073,14342133,0,0,0,0,0,47881,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,10196.125,2603910
08-09-2021,2194.64021,5963,98269,837.9,1347,30995,2993,293.25,1,423926,899.32,38,0,5683,0,0,0,4382.11,5955,68610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2412898,9623,28964,113147,1853,2123,0,14,16,488745,14653,0,49934875,5166,1868,0,0,1327397,13300571,3.93,52734546,1.5,1,TWCBrandAccuracy_Facebook,0,0,0,0,0,10921796,9800147,27771170,4241433,15163229,0,0,0,0,0,53958,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,14237.925,3507569
09-09-2021,2314.68964,5657,112227,1222.88,1419,32312,4217,282.9,1,431731,866.94,28,0,5138,0,0,0,3589.88,4991,62140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.52,759,8335,2044945,7739,11907,183006,3467,7084,0,0,0,397377,12815,0,42299904,3063,789,0,0,1165602,11679379,3.93,44147353,1.5,1,TWCBrandAccuracy_Facebook,0,0,0,0,0,9334780,8175495,22874027,3763051,13097831,0,0,0,0,0,50252,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,14127.9125,3022707
10-09-2021,3127.16287,6211,170919,1245.97,1267,34280,4380,411.7,0,510906,665.03,25,0,4999,0,0,0,4050.23,4627,90394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.61,1225,13893,1507319,5262,19230,454600,5809,1871,0,8,4,434703,16214,0,56995436,1799,351,0,0,930020,9318838,3.93,34060978,1.25,1,TWCBrandAccuracy_Facebook,0,0,0,0,0,7522577,6593120,17067360,2877921,10400498,0,0,0,0,0,43576,0.64,0.31,0.83,0.74,0.67,0.85,0.83,19,0.58,0.61,14839.9375,3041156
