Date,Preference,US.Weather.Impact.Rating,Net.Trust,NPS,EventsCamp/Vend_Campaign_Flag,Visits_Critical_Event_Flag,SEM_Google_Spend,Preload_IronSource_Aura_Spend,Programmatic_Bidease_Spend,Preload_Digital_Turbine_Spend,Programmatic_Tapjoy_Spend,SEM_Apple_Search_Ads_Spend,Programmatic_LiftOff_Spend,Programmatic_IronSource_Sonic_Spend,Programmatic_Persona.ly_Spend,Twitter_TikTok_Combined_Spend,Brand_Spend,Influencer_Spend,SEM_Google_Impressions,Preload_IronSource_Aura_impressions,Programmatic_Bidease_Clicks,Preload_Digital_Turbine_launches,Programmatic_Tapjoy_Clicks,SEM_Apple_Search_Ads_Impressions,Programmatic_LiftOff_Impressions,Programmatic_IronSource_Sonic_Impressions,Programmatic_Persona.ly_Clicks,Twitter_TikTok_Combined_Impressions,Brand_Impressions,Influencer_Daily_Impressions,OrganicSearch_Google_Clicks,SocialEng_Twitter_Total_Engagements,SocialEng_Facebook_Estimated_Clicks,SocialEng_LinkedIn_Impressions,SocialEng_TikTok_Impressions,SocialEng_YouTube_Estimated_Clicks,SocialEng_Instagram_Estimated_Clicks,OrganicSearch_Google_Clicks_Paid_Spend,SocialEng_Facebook_Estimated_Clicks_Paid_Spend,SocialEng_YouTube_Estimated_Clicks_Paid_Spend,SocialEng_Instagram_Estimated_Clicks_Paid_Spend,SocialEng_Twitter_Total_Engagements_Paid_Spend,SocialEng_LinkedIn_Impressions_Paid_Spend,SocialEng_TikTok_Impressions_Paid_Spend,Overall_Web_Visits
01-09-2021,0.31,0.333333333,0.67,0.76,0,1,0.191017927,0.189389801,0.025105791,0.424843969,0,0.134510031,0,0,0,0,0,0,0.074072019,0.193798507,5.42E-07,0.46969697,0,0.221664525,0,0,0,0,0,0,0.257966886,0.132182544,0.067090262,0.031508281,0,0,0,0.083529969,0.018906153,0,0,0.060312053,0.018576287,0,23167856
02-09-2021,0.31,0.25,0.67,0.76,0,0,0.098221916,0.278953182,0.020634897,0.354402369,0,0.107152815,0,0,0,0,0,0,0.043780975,0.291300498,0,0.681818182,0,0.173015156,0,0,0,0,0,0,0.119786676,0.117337361,0.284785677,0.025881405,0,0,0,0.027598178,0.05947041,0,0,0.039673948,0.011307359,0,14865412
03-09-2021,0.31,0.166666667,0.67,0.76,0,0,0.087879774,0.277529952,0.03267192,0.408240669,0,0.057555351,0,0,0,0,0,0,0.036547381,0.290496849,5.42E-07,0.46969697,0,0.122280774,0,0,0,0,0,0,0.070701904,0.036918761,0.039580393,0.018952716,0,0,0,0.008308038,0.006397856,0,0,0.009662463,0.006409385,0,12257619
04-09-2021,0.31,0.166666667,0.67,0.76,0,0,0.088973962,0.281317141,0.028888856,0.441063831,0,0.087032782,0,0,0,0,0,0,0.036628852,0.259861445,0,0.363636364,0,0.110173551,0,0,0,0,0,0,0.04216401,0.012169598,0.060957448,6.69E-05,0,0,0,0.008797594,0.011665312,0,0,0.003770788,2.68E-05,0,11328414
05-09-2021,0.31,0.083333333,0.67,0.76,0,0,0.094466293,0.205245621,0.026481451,0.437945515,0,0.108264767,0,0,0,0,0,0,0.038139409,0.221546727,0,0.575757576,0,0.114770921,0,0,0,0,0,0,0.064712313,0.019333261,0.000347938,5.52E-05,0,0,0,0.015918648,7.19E-05,0,0,0.006467039,2.39E-05,0,11701347
06-09-2021,0.31,0.083333333,0.67,0.76,0,0,0.079088401,0.181384509,0.058121626,0.376045791,0,0.098833822,0,0,0,0,0,0,0.033370409,0.205652332,5.42E-07,0.424242424,0,0.123843172,0,0,0,0,0,0,0.032956693,0.02302298,0.060716817,0.002098682,0,0,0,0.00628731,0.011319684,0,0,0.006949814,0.000818582,0,10886616
07-09-2021,0.31,0.166666667,0.67,0.76,1,0,0.098059012,0.188327689,0.073941714,0.35184766,0,0.111987953,0,0,0,0,0.071011655,0,0.035230464,0.1956216,5.42E-07,0.727272727,0,0.152069769,0,0,0,0,0.517159505,0,0.084222702,0.099385047,0.055897713,0.017413917,0,0,0,0.079816464,0.027545944,0,0,0.079299599,0.017953561,0,14342133
08-09-2021,0.31,0.166666667,0.67,0.76,1,0,0.110176023,0.254269692,0.087698312,0.415461303,0,0.124423188,0,0,0,0,0.099161065,0,0.038676645,0.230639868,5.42E-07,0.575757576,0,0.176858546,0,0,0,0,0.696634156,0,0.113706812,0.111468335,0.094183906,0.033063152,0,0.19047619,0,0.127761691,0.059741244,0.137606476,0,0.114481524,0.043876537,0,15163229
09-09-2021,0.31,0.166666667,0.67,0.76,1,0,0.116202782,0.371095979,0.084603077,0.400502626,0,0.100543497,0,0,0.046874497,0,0.098394875,0,0.044170225,0.240439924,5.42E-07,0.424242424,0,0.159247545,0,0,0.021631943,0,0.600336284,0,0.084020321,0.066091272,0.038718677,0.053476939,0,0,0,0.107083764,0.024142924,0,0,0.06672672,0.069763202,0,13097831
10-09-2021,0.31,0.083333333,0.67,0.76,1,0,0.15699082,0.378102885,0.123121552,0.307225715,0,0.114419538,0,0,0.078192587,0,0.103353825,0,0.067270181,0.255084197,0,0.378787879,0,0.236153453,0,0,0.034913216,0,0.604000419,0,0.040795234,0.038817564,0.062531298,0.132840543,0,0.047619048,0,0.089841877,0.0424114,0.036784637,0,0.042628471,0.188497817,0,10400498
